id	date_reviews	rating	course_id	reviews	reviews_transl	reviewers	lang
30	Mar 06, 2019	3	ai-for-everyone	I found this course to be helpful. But this is very basic. A direction on how to pursue the understanding further would have helped. Also, the fee for the content and was not that worth. 	I found this course to be helpful. But this is very basic. A direction on how to pursue the understanding further would have helped. Also, the fee for the content and was not that worth.	By Raghvendra K	en
31	Mar 06, 2019	3	ai-for-everyone	I feel the content is too light on actual advice and too generic. I understand it was meant as a non-technical course, but only 4 weeks of content that can mostly be found in previous speeches made by the author does not represent enough value for the price, especially compared to previous courses made by the same author.What is there is good, there is just not enough.	I feel the content is too light on actual advice and too generic. I understand it was meant as a non-technical course, but only 4 weeks of content that can mostly be found in previous speeches made by the author does not represent enough value for the price, especially compared to previous courses made by the same author.What is there is good, there is just not enough.	By Édouard R	en
32	Apr 30, 2019	3	ai-for-everyone	Very good coursePostitive:Clear commentary and methods of communication (visual, audio, etc)Good pace for something relaxingEasy to understand subject matter explained in a respectful wayNegative:Locked quizzesSome minor UI bugs when switching tracks, the checkmark doesn't activate. Also, the scrolling on page should keep video anchored, while speech-to-text scrolls.Suggestions:Unlock quizzes. People aren't going to pay $ for quizzes, but it helps in feeling satisfied. Locking them makes it feel like an attempt to get money, which makes sense if someone wants the Certificate, but not for quizzes. For example, should a school textbook (being borrowed from the library, perhaps) eliminate practice lessons with answers, and only provide quizzes if the book were used in a paid, formal educational setting?If the goal is to monetize the course, then it makes sense. In that case, thank you for providing the content for free. I found it valuable and interesting.	Very good coursePostitive:Clear commentary and methods of communication (visual, audio, etc)Good pace for something relaxingEasy to understand subject matter explained in a respectful wayNegative:Locked quizzesSome minor UI bugs when switching tracks, the checkmark doesn't activate. Also, the scrolling on page should keep video anchored, while speech-to-text scrolls.Suggestions:Unlock quizzes. People aren't going to pay $ for quizzes, but it helps in feeling satisfied. Locking them makes it feel like an attempt to get money, which makes sense if someone wants the Certificate, but not for quizzes. For example, should a school textbook (being borrowed from the library, perhaps) eliminate practice lessons with answers, and only provide quizzes if the book were used in a paid, formal educational setting?If the goal is to monetize the course, then it makes sense. In that case, thank you for providing the content for free. I found it valuable and interesting.	By Mudit B	en
33	May 10, 2019	3	ai-for-everyone	The course is a high-level overview of the field of AI and data science. While it is to be expected that in an overview course one would cover many issues at a general and non-technical level, I think the course could benefit from being shortened to one or two weeks and focused more on the technical aspects,, such as, for example, the various applications of AI/machine learning and what the state-of-the-art is in the field. Much of what last week's videos focused on would be better left to economists who specifically study these issues (e.g., productivity, impact on jobs and developing countries, etc). Andrew is clearly an authority on AI, but that does not make him an authority on economics. Overall, I though the overview was useful, but I would shorten the course and exploit the instructor's comparative advantage in understanding the technical aspects. 	The course is a high-level overview of the field of AI and data science. While it is to be expected that in an overview course one would cover many issues at a general and non-technical level, I think the course could benefit from being shortened to one or two weeks and focused more on the technical aspects,, such as, for example, the various applications of AI/machine learning and what the state-of-the-art is in the field. Much of what last week's videos focused on would be better left to economists who specifically study these issues (e.g., productivity, impact on jobs and developing countries, etc). Andrew is clearly an authority on AI, but that does not make him an authority on economics. Overall, I though the overview was useful, but I would shorten the course and exploit the instructor's comparative advantage in understanding the technical aspects.	By Alexander D	en
34	Apr 23, 2020	3	ai-for-everyone	Clearly structures course. Touching base on several aspects off AI. Easy to follow and comprehend over duration of the course. Liked the tone, speed and clear articulate way of presenting by the instructor. Would say that this is entry level for anyone wanting to learn about what AI is and what it can/cannot do. Examples of AI systems in practice are somewhat abstract or simple. It would have been nice to see more complicated real life examples of used AI or better said ML systems. A lot can also be learned or taken up by reading current papers by leading companies.	Clearly structures course. Touching base on several aspects off AI. Easy to follow and comprehend over duration of the course. Liked the tone, speed and clear articulate way of presenting by the instructor. Would say that this is entry level for anyone wanting to learn about what AI is and what it can/cannot do. Examples of AI systems in practice are somewhat abstract or simple. It would have been nice to see more complicated real life examples of used AI or better said ML systems. A lot can also be learned or taken up by reading current papers by leading companies.	By Perry B	en
35	Jul 04, 2020	3	ai-for-everyone	I really esteem this course. Dr Andrew Ng is a pleasure to learn from because he is very knowledgeable, experienced and talks in a calm and respectful voice. The course material is structural in a very clear and easy to access manner with many short videos that makes it excellent for home learning. I would have preferred more practical tasks and more hard core technical facts, rather than a generalised and soft introduction to AI. I highly recommend this course. 	I really esteem this course. Dr Andrew Ng is a pleasure to learn from because he is very knowledgeable, experienced and talks in a calm and respectful voice. The course material is structural in a very clear and easy to access manner with many short videos that makes it excellent for home learning. I would have preferred more practical tasks and more hard core technical facts, rather than a generalised and soft introduction to AI. I highly recommend this course.	By Marina A	en
36	Mar 11, 2019	3	ai-for-everyone	"It was very serface level, and more focused on the teams and not the AI. It is a good first level intro to the subjects, but does not really provide future resources. which is really sad. the best improvement this could have, is a ""next steps"" or ""Start here"" for business or technology focused people. if that is added, I would up my rating to a 4/5 without it, I feel cheated."	"It was very serface level, and more focused on the teams and not the AI. It is a good first level intro to the subjects, but does not really provide future resources. which is really sad. the best improvement this could have, is a ""next steps"" or ""Start here"" for business or technology focused people. if that is added, I would up my rating to a 4/5 without it, I feel cheated."	By Ryan J	en
37	Mar 23, 2019	3	ai-for-everyone	It is a solid but very general introduction to AI. Personally, I would have enjoyed a bit more content, but of course this is not the goal of this course, so I might be a bit unfair here. Also, it focuses very much on business applications of AI. If you are a Manager or CEO with no understanding of AI, this is an excellent introduction.  	It is a solid but very general introduction to AI. Personally, I would have enjoyed a bit more content, but of course this is not the goal of this course, so I might be a bit unfair here. Also, it focuses very much on business applications of AI. If you are a Manager or CEO with no understanding of AI, this is an excellent introduction.	By Hermann V	en
38	Sep 04, 2019	3	ai-for-everyone	"It is incredibly broad in scope, almost to the point of being not really helpful. Also, there's a lot of Andrew's politics and ""California-bias"" baked into this course. Encouraging universal income and constantly harping on gender bias is really a boring and progressive-left obsessed topic."	"It is incredibly broad in scope, almost to the point of being not really helpful. Also, there's a lot of Andrew's politics and ""California-bias"" baked into this course. Encouraging universal income and constantly harping on gender bias is really a boring and progressive-left obsessed topic."	By Kyle M	en
39	Mar 09, 2019	3	ai-for-everyone	This is a great initial attempt to roll out general awareness, bringing strategic thinking in matters relating to AI. I think this course need more of that esp, in the weeks 3rd and 4th. Nevertheless, appreciate the effort in bringing forth this course.	This is a great initial attempt to roll out general awareness, bringing strategic thinking in matters relating to AI. I think this course need more of that esp, in the weeks 3rd and 4th. Nevertheless, appreciate the effort in bringing forth this course.	By Sushant P	en
40	Jun 18, 2020	3	ai-for-everyone	The course is not technical, it is a general description of the AI world, particularly targeting the business industries.... However the instructor is good and tries really hard to explain the concepts.	The course is not technical, it is a general description of the AI world, particularly targeting the business industries.... However the instructor is good and tries really hard to explain the concepts.	By Maryam R	en
41	Jun 03, 2019	3	ai-for-everyone	This course is good, but without the quizzes, its pretty difficult to know whether you've learnt it right, which can hamper learning. Hopefully they can unlock the quizzes like other courses.	This course is good, but without the quizzes, its pretty difficult to know whether you've learnt it right, which can hamper learning. Hopefully they can unlock the quizzes like other courses.	By Emmanuel N Q E	en
42	Mar 24, 2020	3	ai-for-everyone	The course is a good introduction to AI. What it can do an not do. Sometimes it is too general and could have some more depth to it without going into all the technical or software details.	The course is a good introduction to AI. What it can do an not do. Sometimes it is too general and could have some more depth to it without going into all the technical or software details.	By Erik J J D B	en
43	Sep 20, 2020	3	ai-for-everyone	good overview of AI-related topics (e.g. how to incorporate AI team into corporation structure or AI implications on our society), buy very limited info on an AI itself 	good overview of AI-related topics (e.g. how to incorporate AI team into corporation structure or AI implications on our society), buy very limited info on an AI itself	By Olena G	en
44	Dec 01, 2019	3	ai-for-everyone	Very high level course - and very light on technical side. There should be recommendations on reading material and blogs - and communities one could join.	Very high level course - and very light on technical side. There should be recommendations on reading material and blogs - and communities one could join.	By Saurabh G	en
45	Jun 14, 2020	3	ai-for-everyone	very super basic stuff with a  500,000 feet view above the ground for management guys coming from liberal arts and non science or math backgrounds 	very super basic stuff with a  500,000 feet view above the ground for management guys coming from liberal arts and non science or math backgrounds	By murlidhar j	en
46	Dec 11, 2019	3	ai-for-everyone	The course is great starting point to make people understand what AI can and cannot do. However, I was expecting it to be a little more detailed.	The course is great starting point to make people understand what AI can and cannot do. However, I was expecting it to be a little more detailed.	By Yatharth B	en
47	May 22, 2019	3	ai-for-everyone	Everything was good but It was very hard for me to have this course on my cellphone. the site is not designed to use it on cellphones.	Everything was good but It was very hard for me to have this course on my cellphone. the site is not designed to use it on cellphones.	By Mohsen S	en
48	Apr 21, 2019	3	ai-for-everyone	Very basic course and questions are very easy. I understand this is a beginner's course but I was expecting more details & insights. 	Very basic course and questions are very easy. I understand this is a beginner's course but I was expecting more details & insights.	By Priyank B	en
49	May 10, 2020	3	ai-for-everyone	IT HAS HELPED ME IN ALL MEANS TO HAVE  A BETTER UNDERSTANDING ABOUT THE GROWING IMPACT IF MACHINE LEARNING AND AI...THANKYOU	IT HAS HELPED ME IN ALL MEANS TO HAVE  A BETTER UNDERSTANDING ABOUT THE GROWING IMPACT IF MACHINE LEARNING AND AI...THANKYOU	By ASHLY J	en
50	May 22, 2019	3	ai-for-everyone	I found it useful in very limited sense or common sense. It does not give any deep or actionable knowledge IMHO.	I found it useful in very limited sense or common sense. It does not give any deep or actionable knowledge IMHO.	By Muhammad	en
51	Sep 04, 2020	3	ai-for-everyone	nothing much to learn about AI technically.This course is more like adv/disadv,what to do/not to do ? in AI	nothing much to learn about AI technically.This course is more like adv/disadv,what to do/not to do ? in AI	By Aakash J	en
52	Oct 23, 2019	3	ai-for-everyone	Great Introductory course. Deeper understanding of AI implications and Technical challenges are necessary.	Great Introductory course. Deeper understanding of AI implications and Technical challenges are necessary.	By Giuseppe L	en
53	Jun 03, 2020	3	ai-for-everyone	This course is good, this is use for new technologies innovation, so please give me a review	This course is good, this is use for new technologies innovation, so please give me a review	By JAVALE P T	en
54	Aug 30, 2020	3	ai-for-everyone	I thougth it was a nice course but not very deep. 3rd and 4th week didint add pretty much.	I thougth it was a nice course but not very deep. 3rd and 4th week didint add pretty much.	By Guilherme F	en
55	Sep 29, 2020	3	ai-for-everyone	Needs a bit of imagination of the picture more in the videos. Thanks for the great course	Needs a bit of imagination of the picture more in the videos. Thanks for the great course	By SRI A M	en
56	Apr 30, 2020	3	ai-for-everyone	I need change on my certificate which completed, my name missing on certificate I receive	I need change on my certificate which completed, my name missing on certificate I receive	By Deleted A	en
57	Sep 09, 2019	3	ai-for-everyone	this course was well organized for those who don't understand what A.I is.thank you.	this course was well organized for those who don't understand what A.I is.thank you.	By Muhammad N	en
58	Jun 18, 2019	3	ai-for-everyone	Only a general overview; did not get any practical experience building any systems.	Only a general overview; did not get any practical experience building any systems.	By Shawn M	en
59	Jun 23, 2020	3	ai-for-everyone	This course can be made more interesting by showing more AI application videos.	This course can be made more interesting by showing more AI application videos.	By Shubham B	en
60	Aug 22, 2020	3	ai-for-everyone	Would loved it if it included some case studies in brief and more interactive	Would loved it if it included some case studies in brief and more interactive	By Harshit J	en
61	Mar 24, 2019	3	ai-for-everyone	Decent course until week 4 when Andrew introduces political correctness. 	Decent course until week 4 when Andrew introduces political correctness.	By heath m	en
62	Mar 11, 2019	3	ai-for-everyone	更多是概念性的讲述，适合对AI缺少了解且英文较好的公司中高层。对于想要进入AI行业的技术人员帮助不大，缺少中文字幕也是一个比较遗憾的地方。	It is more of a conceptual narration, suitable for middle and high-level companies who lack understanding of AI and have good English. It is not very helpful for technicians who want to enter the AI ​​industry, and the lack of Chinese subtitles is also a pity.	By Walson	zh-cn
63	Jun 11, 2020	3	ai-for-everyone	The sound was very low in every video also unclear voice sometimes.	The sound was very low in every video also unclear voice sometimes.	By S M K R	en
64	May 28, 2020	3	ai-for-everyone	very helpful .... got full understanding of artificial intelligence	very helpful .... got full understanding of artificial intelligence	By Aditya p	en
65	Jul 15, 2020	3	ai-for-everyone	It's not that much good, his accent is not properly understandable	It's not that much good, his accent is not properly understandable	By Raghavendra S 	en
66	Jul 11, 2020	3	ai-for-everyone	Expected it to be more technical, but is more business oriented!	Expected it to be more technical, but is more business oriented!	By Ishika P	en
67	Sep 02, 2020	3	ai-for-everyone	I have enjoyed this course very much.It is very helpful for me	I have enjoyed this course very much.It is very helpful for me	By MD S S	en
68	May 15, 2020	3	ai-for-everyone	The videos tend to be a bit sterile, but, the content is good.	The videos tend to be a bit sterile, but, the content is good.	By JOHN S	en
69	May 02, 2020	3	ai-for-everyone	words of teacher are not clear sometime and hard to understand 	words of teacher are not clear sometime and hard to understand	By Muhammmad U r	en
70	Apr 19, 2020	3	ai-for-everyone	Its good course i learned a lot but i expect more.Thankyou.	Its good course i learned a lot but i expect more.Thankyou.	By amulya s v	en
71	Apr 09, 2019	3	ai-for-everyone	even if it is only for biz people, I think it is too basic.	even if it is only for biz people, I think it is too basic.	By julio	en
72	Sep 06, 2020	3	ai-for-everyone	Right way to know about such important things around us	Right way to know about such important things around us	By Kaviyanjali.M	en
73	May 13, 2020	3	ai-for-everyone	Most helpful in understanding what AI is how it works .	Most helpful in understanding what AI is how it works .	By Harshal S	en
74	Jul 14, 2020	3	ai-for-everyone	The course was good not amazing I expected better	The course was good not amazing I expected better	By NIKHIL R N	en
75	Jul 23, 2019	3	ai-for-everyone	Would have appreciated a more technical 4th week.	Would have appreciated a more technical 4th week.	By Pete H	en
76	Jun 21, 2020	3	ai-for-everyone	hard to understand!!! mentor is not good enough	hard to understand!!! mentor is not good enough	By RAHUL S R	en
77	May 25, 2020	3	ai-for-everyone	It's is to learn. It's useful to for everyone. 	It's is to learn. It's useful to for everyone.	By PALATI V S 	en
78	Mar 18, 2019	3	ai-for-everyone	Good foundation but overpriced for what it is	Good foundation but overpriced for what it is	By Philip H	en
79	Jun 08, 2020	3	ai-for-everyone	Gives a basic idea on the hoopla of AI. 	Gives a basic idea on the hoopla of AI.	By Maulik G	en
80	May 14, 2020	3	ai-for-everyone	Add some more interesting fact about AI	Add some more interesting fact about AI	By Aman S R	en
81	Sep 25, 2020	3	ai-for-everyone	nice for everyone who interested in AI 	nice for everyone who interested in AI	By Nwet N Z	en
82	Mar 07, 2019	3	ai-for-everyone	too little information in this course	too little information in this course	By XU Z	en
83	Mar 01, 2019	3	ai-for-everyone	Maybe too simple. Can dig into more.	Maybe too simple. Can dig into more.	By Yonggang	en
84	May 09, 2020	3	ai-for-everyone	Interesting course for beginners	Interesting course for beginners	By Dr D J	en
85	Jul 09, 2020	3	ai-for-everyone	Good course, to know what is AI	Good course, to know what is AI	By DOMALE R V	en
86	Jul 19, 2020	3	ai-for-everyone	Best learning opportunity....	Best learning opportunity....	By Roshan A	en
87	Apr 03, 2019	3	ai-for-everyone	A good overview of the area.	A good overview of the area.	By Shubham K S	en
88	Apr 10, 2020	3	ai-for-everyone	Brief Course for begginers	Brief Course for begginers	By Rohan H	en
89	Aug 27, 2020	3	ai-for-everyone	certificate get not found	certificate get not found	By Mangali s	en
90	May 26, 2020	3	ai-for-everyone	ITS NOT UPTO SATISFACTORY	ITS NOT UPTO SATISFACTORY	By SAMARTH K S	en
91	Jul 05, 2020	3	ai-for-everyone	It's Really good for us. 	It's Really good for us.	By GOWTHAM M	en
92	Jul 05, 2019	3	ai-for-everyone	A little too basic to me	A little too basic to me	By Matthias B	en
93	Jul 16, 2020	3	ai-for-everyone	It is easy to learning	It is easy to learning	By raju b	en
94	Apr 18, 2020	3	ai-for-everyone	It's an amazing course 	It's an amazing course	By Ellin F M	en
95	May 26, 2020	3	ai-for-everyone	Helps To learn Basics	Helps To learn Basics	By Abishek M	en
96	Dec 13, 2019	3	ai-for-everyone	It was great begining	It was great begining	By SUHAS G K	en
135	Apr 02, 2019	4	ai-for-everyone	This is nicely put course but is an extremely introductory and elementary introduction to the idea of current AI wave. It does not lead to concrete learning that you can take back to work. It should have been offered absolutely free of cost including the certificate track given Andrew Ng's reputation and thus the demand for the course.	This is nicely put course but is an extremely introductory and elementary introduction to the idea of current AI wave. It does not lead to concrete learning that you can take back to work. It should have been offered absolutely free of cost including the certificate track given Andrew Ng's reputation and thus the demand for the course.	By Ankur G	en
136	Jul 07, 2020	4	ai-for-everyone	After I did this course, I'd say I skimmed over a book explaining what AI is, what it does, how it can be used, what had been done, what can be done, what should not be done. I say skimming because it should discuss a little more in technicality and not completely in layman terms. nonetheless, I learned things I didn't know and I am happy about it.	After I did this course, I'd say I skimmed over a book explaining what AI is, what it does, how it can be used, what had been done, what can be done, what should not be done. I say skimming because it should discuss a little more in technicality and not completely in layman terms. nonetheless, I learned things I didn't know and I am happy about it.	By Akshat B	en
138	Mar 05, 2019	4	ai-for-everyone	The course is a solid high level introduction to the concepts of artificial intelligence, machine learning, data science, and mentions (in passing) some deeper concepts like natural language processing and knowledge graphs.  I enjoyed it!  My critical feedback revolves around the final week: I appreciated the attention given to ethics in AI, but it seems worth mentioning that efforts to eliminate bias and prejudice are themselves inherently based on judgement calls, and will reflect the value(s) of the person(s) making those judgements.  Since this course is aimed at business leaders, I suggest adding some verbiage to the need for an enterprise to articulate those values in a manner that supports their inclusion (at an engineering level) into the techniques, data, and algorithms being developed by those AI teams.	The course is a solid high level introduction to the concepts of artificial intelligence, machine learning, data science, and mentions (in passing) some deeper concepts like natural language processing and knowledge graphs.  I enjoyed it!  My critical feedback revolves around the final week: I appreciated the attention given to ethics in AI, but it seems worth mentioning that efforts to eliminate bias and prejudice are themselves inherently based on judgement calls, and will reflect the value(s) of the person(s) making those judgements.  Since this course is aimed at business leaders, I suggest adding some verbiage to the need for an enterprise to articulate those values in a manner that supports their inclusion (at an engineering level) into the techniques, data, and algorithms being developed by those AI teams.	By Dan H	en
139	Sep 21, 2020	4	ai-for-everyone	This course was a highly informative, non-technical course as to generally what A.I. is, what it can or can't do, understanding it's particular vulnerabilities, how to start introducing A.I. methodologies into a company, its potential value both economic and societal, as well as a look at the potential impacts on society and solutions. It is a very very good primer on understanding the subject if you have no clue as to what AI is. Some statements in the course do seem just a tad little dismissive in terms of the potential impacts of implementation, but other than this the course was fine. I would recommend.	This course was a highly informative, non-technical course as to generally what A.I. is, what it can or can't do, understanding it's particular vulnerabilities, how to start introducing A.I. methodologies into a company, its potential value both economic and societal, as well as a look at the potential impacts on society and solutions. It is a very very good primer on understanding the subject if you have no clue as to what AI is. Some statements in the course do seem just a tad little dismissive in terms of the potential impacts of implementation, but other than this the course was fine. I would recommend.	By Khalil K	en
140	Mar 15, 2019	4	ai-for-everyone	I love Andrew Ng's teaching style and his simple presentation of materials such that the average person can understand how AI will impact the world and global economy. I've taken his Machine Learning course for practitioners which is much more technical and goes into full depth.  The only reason I wouldn't rate this as a 5-star is because there seems to be a business angle to the course in the sense that it's a pitch to companies looking to utilize Landing AI's services.   Would recommend this to anyone looking to learn a bit more about AI and how it'll impact their lives.	I love Andrew Ng's teaching style and his simple presentation of materials such that the average person can understand how AI will impact the world and global economy. I've taken his Machine Learning course for practitioners which is much more technical and goes into full depth.  The only reason I wouldn't rate this as a 5-star is because there seems to be a business angle to the course in the sense that it's a pitch to companies looking to utilize Landing AI's services.   Would recommend this to anyone looking to learn a bit more about AI and how it'll impact their lives.	By Hans K	en
141	Nov 25, 2019	4	ai-for-everyone	The course applies cognitivistic ideas of learning with frontal learning (videos) and quizzes (memorization) which is only as good as a scaffold to getting real knowledge (building mental models by applying them to the world and getting feedback on the usage). It could easily be improved by having learners write articles where they apply the material to their current situation and have it peer reviewed by other learners (use and refine mental models). Moderators would have to check for mistakes, but it stays more or less scalable.Still good material, though.	The course applies cognitivistic ideas of learning with frontal learning (videos) and quizzes (memorization) which is only as good as a scaffold to getting real knowledge (building mental models by applying them to the world and getting feedback on the usage). It could easily be improved by having learners write articles where they apply the material to their current situation and have it peer reviewed by other learners (use and refine mental models). Moderators would have to check for mistakes, but it stays more or less scalable.Still good material, though.	By Martin W	en
142	Aug 08, 2020	4	ai-for-everyone	The course actually did what it promises: AI for Everyone. Well designed, with true examples, this course is the best for a beginner entering the world of AI. Andrew Ng has an amazing way to transform complexity into simple, understandable words. I definitely recommend it as one of the most valuable courses I have attended so far.Thank you, Andrew!  But a little disappointed and not satisfied with the certificate format offered by Coursera it provides signature other than Andrew and does not have a Coursera certified message on the right corner below.	The course actually did what it promises: AI for Everyone. Well designed, with true examples, this course is the best for a beginner entering the world of AI. Andrew Ng has an amazing way to transform complexity into simple, understandable words. I definitely recommend it as one of the most valuable courses I have attended so far.Thank you, Andrew!  But a little disappointed and not satisfied with the certificate format offered by Coursera it provides signature other than Andrew and does not have a Coursera certified message on the right corner below.	By Kruthi G	en
143	Jun 11, 2020	4	ai-for-everyone	the way the course was conducted was precise and had examples to back up the different topics that was discussed. The analogies used were interesting and applicable to real world problems and the teacher had a nice sounding passive voice that made the experience a lot better to take in. The only complaint I have is that the video audio is relatively softer compared to everything else in the background so I had to turn it up, but other than that I would highly recommend this course to anyone who is looking forward to learning the basics of AI.	the way the course was conducted was precise and had examples to back up the different topics that was discussed. The analogies used were interesting and applicable to real world problems and the teacher had a nice sounding passive voice that made the experience a lot better to take in. The only complaint I have is that the video audio is relatively softer compared to everything else in the background so I had to turn it up, but other than that I would highly recommend this course to anyone who is looking forward to learning the basics of AI.	By Nicholas W J C	en
144	May 14, 2019	4	ai-for-everyone	This is quite an informative course on what is AI, what it's capable of currently, and how you can launch AI projects in your own organisation.  Andrew Ng goes one step one further and talks about AI and it's role in societies and ethics. Though since it's just information, learners are not assigned any project-type assignment which makes it easy to forget. I managed to score almost 100% in all the quizzes because I make detailed notes but I still doubt I'd be able to retain the info if I don't get an opportunity soon to apply what I learned.	This is quite an informative course on what is AI, what it's capable of currently, and how you can launch AI projects in your own organisation.  Andrew Ng goes one step one further and talks about AI and it's role in societies and ethics. Though since it's just information, learners are not assigned any project-type assignment which makes it easy to forget. I managed to score almost 100% in all the quizzes because I make detailed notes but I still doubt I'd be able to retain the info if I don't get an opportunity soon to apply what I learned.	By Daniyal A S	en
145	Mar 26, 2019	4	ai-for-everyone	Small and medium businesses are also able to use data science, machine learning, and AI but they do not have the money to hire permanent staff dedicated for it. What they can do is buy the software and consulting services for AI, data science, and machine learning.  It would be nice to see coverage of how small and medium businesses can use AI.  Consider TurboTax, which is a popular software developed by software engineers but used by many small tax accounting businesses that cannot afford to individually hire a full time software engineer.	Small and medium businesses are also able to use data science, machine learning, and AI but they do not have the money to hire permanent staff dedicated for it. What they can do is buy the software and consulting services for AI, data science, and machine learning.  It would be nice to see coverage of how small and medium businesses can use AI.  Consider TurboTax, which is a popular software developed by software engineers but used by many small tax accounting businesses that cannot afford to individually hire a full time software engineer.	By geoffrey a	en
146	Jul 31, 2020	4	ai-for-everyone	Really excellent that professor simplified the current status of AI with fantastic real time example and case studies. He really emphasized the point that there are also problem statements which AI can't do and also mentioned how media over-hyped the AI. Some significant points which i liked really  that even if data set is small we can start AI project on that and also our expertise area along with some AI can uplift us on our career.  Thank you so much for the professor and coursera team for this wonderful course for AI basics. thank you	Really excellent that professor simplified the current status of AI with fantastic real time example and case studies. He really emphasized the point that there are also problem statements which AI can't do and also mentioned how media over-hyped the AI. Some significant points which i liked really  that even if data set is small we can start AI project on that and also our expertise area along with some AI can uplift us on our career.  Thank you so much for the professor and coursera team for this wonderful course for AI basics. thank you	By Krishnamoorthi	en
147	Oct 15, 2019	4	ai-for-everyone	Very good overview of AI in all its aspects: technical, business and organisational, pleasantly and clearly explained by Andrew Ng.I think everyone interested in AI should start with this course, but as it is 'just' an overview it tends to be a bit superficial and require additional learning to really get started yourself (from knowing to doing). I also recommend the AI primer on YouTube to get some more insights into AI. Together you have a fuller picture of this new and exciting field. Good luck!	Very good overview of AI in all its aspects: technical, business and organisational, pleasantly and clearly explained by Andrew Ng.I think everyone interested in AI should start with this course, but as it is 'just' an overview it tends to be a bit superficial and require additional learning to really get started yourself (from knowing to doing). I also recommend the AI primer on YouTube to get some more insights into AI. Together you have a fuller picture of this new and exciting field. Good luck!	By erik s	en
